Ref Number,Community_number,study,year,data_type,veg_type,elevation,island,coordinates_notes,notes,latitude,longitude,n_plant_spp,bee,medium-large bees,small bees,solitary bee,bumblebee,Halictinae bees,hymenoptera,ants,wasps,butterfly,moth,sphingid,lepidoptera,fly (general),beefly (Acroceridae),syrphid fly (Syrphidae),muscoid fly (Muscoidea),beetle,flies+wasps,thysanoptera,insect generalist,small insects,insect (any),bat,birds (general),non-flying mammals,reptiles,wind,water,abiotic,biotic,both,unknown,self-compatible,Country,locality_notes
1,1,"Aleixo, K. P., de Faria, L. B., Groppo, M., do Nascimento Castro, M. M., & da Silva, C. I. (2014). Spatiotemporal distribution of floral resources in a Brazilian city: Implications for the maintenance of pollinators, especially bees. Urban Forestry & Urban Greening, 13(4), 689-696.",2014,syndrome,closed,655,no,"21◦9.4 S,047◦51.3 W",atlantic rainforest,-21.15011111,-47.85008333,289,0.67,,,,,,,,,0.04,0.02,0.01,,0.01,,,,0.01,,,,,,0.02,0.18,,,0.01,,,,,,,Brazil,"Ribeirao Preto, Brazil"
2,2,"Arroyo, M. T. K., Primack, R., Armesto, J. 1982. Community studies in pollination ecology in the high temperate Andes of Chile. I. Pollination mechanisms and altitudinal variation. – Am. J. Bot. 69: 82–97.",1982,observation,open,2400,no,,subandean scrub (2200-2600 m),-33.2833,-70.2666,91,0.68,,,,,,,,,0.18,0.03,,,0.38,,,,0.05,,,,,,,0.01,,,,,0.04,0.96,,,,Chile,"Cordo del Cepo, western slopes of the Andes "
2,3,"Arroyo, M. T. K., Primack, R., Armesto, J. 1982. Community studies in pollination ecology in the high temperate Andes of Chile. I. Pollination mechanisms and altitudinal variation. – Am. J. Bot. 69: 82–97.",1982,observation,open,2900,no,,cushion plant communities (2700-3100),-33.2833,-70.2666,58,0.48,,,,,,,,,0.22,0.04,,,0.55,,,,0.05,,,,,,,0,,,,,0.04,0.96,,,,Chile,"Cordo del Cepo, western slopes of the Andes "
2,4,"Arroyo, M. T. K., Primack, R., Armesto, J. 1982. Community studies in pollination ecology in the high temperate Andes of Chile. I. Pollination mechanisms and altitudinal variation. – Am. J. Bot. 69: 82–97.",1982,observation,open,3400,no,,subnival field (3200-3600),-33.2833,-70.2666,45,0.13,,,,,,,,,0.32,0,,,0.68,,,,0,,,,,,,0.02,,,,,0.04,0.96,,,,Chile,"Cordo del Cepo, western slopes of the Andes "
3,5,"Barrett, S. C., & Helenurm, K. (1987). The reproductive biology of boreal forest herbs. I. Breeding systems and pollination. Canadian Journal of Botany, 65(10), 2036-2046.",1987,syndrome+observation,closed,111,no,,herbaceous only; data comes from table 1. note that Ollerton scored this differently,46.5537,-66.1364,12,0.33,,,,,,,,,,,,,0.17,,,,,,,0.58,,,,,,,,,,,,,,Canadda,
4,6,"Barrios, Y., & Ramírez, N. (2020). Biología floral y solapamiento fenológico de las angiospermas de un bosque inundable, cuenca del lago de Maracaibo, Venezuela. Acta botánica mexicana, (127).",2020,syndrome,closed,16,no,"10°26'46""10°27'28.8""N, 71°26'44.16""-71°27'4""W",,10.44611111,-71.44563889,48,0.62,,,,,,,,,,0.13,,,0.02,,,,0.02,,,,,,,0.02,,,0.18,,,,,,,Venezuela,"Costa oriental del lago de Maracaibo, Venezuela"
5,7,"Bawa, K. S., Bullock, S. H., Perry, D. R., Coville, R. E., & Grayum, M. H. (1985). Reproductive biology of tropical lowland rain forest trees. II. Pollination systems. American journal of botany, 72(3), 346-356.",1985,syndrome+observation,closed,85,no,,data from table 1; small and medium/large bee categories were combined. no plant splist x animal vistors sp (only categories),10.422885,-84.022085,143,0.41,,,,,,,,0.04,0.05,0.08,0.08,,,,,,0.07,,,,0.16,,0.03,0.04,,,0.02,,,,,,,Costa Rica,the study was conducted at the La Selva Field Sta- tion of the Organization for Tropical Studies in Costa Rica.
6,8,"Bernadello, G., Anderson, G. J., Stuessy, T. F., & Crawford, D. J. (2001). A survey of floral traits, breeding systems, floral visitors, and pollination systems of the angiosperms of the Juan Fernandez Islands (Chile). Bot. Rev, 67, 255-308.",2001,observation,mixed,10,yes,"33.6614° S, 78.9278° W",no plant splist x animal vistors sp (only categories),-33.6614,-78.9278,149,0,,,,,,,,,,,,,,,,,,,,0.07,,,,0.09,,,0.47,,,,,0.44,0.85,Chile,"Juan Fernandez Island, Chile"
7,9,"Caballero, D. F., Ramos, D. R., Valdés, N. P., & García, J. G. (2021). Síndromes de polinización y dispersión del complejo de vegetación de costa arenosa de Playa Las Coloradas, Ciego de Ávila, Cuba. Revista ECOVIDA, 11(1), 103-112.",2021,syndrome,mixed,7.5,yes,78.3556  W 22.5333  N,,22.5333,-78.3556,24,0.46,,,,,,,,,0.29,,,,,,,,0.08,,,,,,0.04,,,,0.12,,,,,,,Cuba,"Ciego de Ávila, Cuba"
8,10,"Chamorro S, heleno R, Olesen JM, McMullen CK, Traveset A. 2012 Pollination patterns and plant breeding systems in the Galápagos: a review. Annals of Botany, Volume 110, Issue 7, November 2012, Pages 1489–1501, https://doi.org/10.1093/aob/mcs132",2012,observation,mixed,NA,yes,,"Review that include reliable information for 70 plant species, of which 34 are endemic, 21 non-endemic natives and 13 alien and two possibly native ; altitude from 0 to 1700m, leaving as NA due to uncertainty",-0.9538,-90.9656,123,did not provide separate numbers for bees and ants visits to plants,,,,,,0.74,,,,,,0.35,0.19,,,,0.09,,,,,,,0.57,,0.1,,,,,,,0.8,Ecuador,"the study contains information of several islands, but the coordinates are the centroid "
9,11,"Conceição, A. A., Funch, L. S., & Pirani, J. R. (2007). Reproductive phenology, pollination and seed dispersal syndromes on sandstone outcrop vegetation in the"" Chapada Diamantina"", northeastern Brazil: population and community analyses. Brazilian Journal of Botany, 30, 475-485.",2007,syndrome,open,1120,no,12°27’ S and 41°28’ W,,-12.45,-41.46666667,43,0.63,,,,,,,,,,,,,,,,,,,,,,,0.02,0.29,,,0.06,,,,,,,Brazil,"“Chapada Diamantina”, Bahia, Brazil"
10,12,"Cortés-Flores J, Hernández-Esquivel KB, González-Rodríguez A, Ibarra-Manríquez G (2017) Flowering phenology, growth forms and pollination syndromes in a tropical dry forest species: influence of phylogeny and abiotic factors. Am J Bot 104:39–49",2017,syndrome,closed,845,no,,,18.6333,-101.6333,154,0.57,0.46,0.09,,,,,,,0.03,0.09,,,,,,,,,,,0.18,,0.04,0.06,,,0.04,,,,,,,Mexico,"Churumuco, Michoacán, Mexico"
11,13,"Cortés-Flores, J., Cornejo-Tenorio, G., & Ibarra-Manríquez, G. (2011). Fenología reproductiva de las especies arbóreas de un bosque Neotropical. Interciencia, 36(8), 608-613.",2011,NA,NA,NA,no,19°32'30''- 40'30''N y los 101°16'39''- 26'16''O,no observation pollinators,19.54166667,-101.2775,13,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,0.69,,,,,,,Mexico,"Michoacán, México"
12,14,"Cortés-Flores, J., Cornejo-Tenorio, G., & Ibarra-Manríquez, G. (2015). Flowering phenology and pollination syndromes in species with different growth forms in a Neotropical temperate forest of Mexico. Botany, 93(6), 361-367.",2015,syndrome,closed,2615,no,"19°32=40=N, 101°16=26=W",,19.54444444,-101.2738889,143,,,,,,,,,,,,,,,,,,,,,,,0.797,,0.11,,,0.09,,,,,,,Mexico,"municipalities of Lagunillas and Morelia, in the state of Michoacán, Mexico"
13,15,"Danieli‐Silva, A., de Souza, J. M. T., Donatti, A. J., Campos, R. P., Vicente‐Silva, J., Freitas, L., & Varassin, I. G. (2012). Do pollination syndromes cause modularity and predict interactions in a pollination network in tropical high‐altitude grasslands?. Oikos, 121(1), 35-43.",2012,syndrome+observation,open,2000,no,,"Same data from Freitas & Sazima 2006 anemophillous plants were not included; support predictive power of pollination syndrome. Obs: does not say altitude of the plots, 2000 is a proxy based on the vegetation and location",-22.963,-44.67,106,0.63,,,,,,,,0.23,0.06,,,,0.19,,,,0.04,0.25,,,,,,0.05,,,,,,,,,,Brazil,Serra da Bocaina National Park
14,16,"Deus, F.F., Oliveira, P.E. Changes in floristic composition and pollination systems in a “Cerrado” community after 20 years of fire suppression. Braz. J. Bot 39, 1051–1063 (2016). https://doi-org.proxy.lib.umich.edu/10.1007/s40415-016-0304-9",2016,syndrome,open,800,no,,"large bees are mentioned, but not presented in the results (Table 2); edit: large bees shown in figure 3 and added to the table",-19.1555,-48.3888,207,0.51,0.25,0.27,,,,,,0.05,0,0.02,,,0.02,,,,0.01,,,,0.09,,0.02,0.03,,,0.08,,,,,0.15,,Brazil,"Panga Ecological Station, Brazil"
15,17,"Diaz, S., Acosta, A., & Cabido, M. (1994). Grazing and the phenology of flowering and fruiting in a montane grassland in Argentina: a niche approach. Oikos, 287-295.",1994,observation,open,2250,no,31 20'S; 64 45'W,only most frequent species,31.33333333,-64.75,20,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.8,,,,,,,Argentina,Argentina
16,18,"XENA de ENRECH, N., & MADRIZ, R. (1994). ASPECTOS DE LA BIOLOGIA DE POLINIZACION EN EL BOSQUE ENANO DE LA CIMA DEL «CERRO COPEY»(ISLA MARGARITA). Acta Botánica Venezuelica, 35-68.",1994,syndrome,closed,840,yes,"El «Cerro Copey» en la Isla Margarita, fue declarado Parque Naci 1974 y está circunscrito a las siguientes coordenadas: latitud norte en 34"" y 1 Io 3' 27"" y longitud oeste entre 63° ",small diptera were included in melitophylous flowers,11.008563,-63.899038,57,0.88,,,,,,,,,0.26,,0.03,,,,,,,,,,,,,0.05,,,0.05,,,,,,,Venezuela,
17,19,"Faife-Cabrera, M., Díaz-Alvarez, E., Cañizares-Morera, M., & Torres-Roche, E. M. (2012). Síndromes de Polinización y Dispersión de Endemismos en las Serpentinitas al Suroeste de Santa Clara, Cuba. Centro Agrícola, 39(2), 61-66.",2012,syndrome,open,109,yes,22o24’Nylos79o 59’ O,altitude from raster,22.4,-79.98333333,60,0.47,,,,,,,,,0.08,0.22,,,0.02,,,,0.1,,,,,0.9,0.03,0.05,,,0.03,,,,,,,Cuba,"serpentinas al suroeste de Santa Clara, en la provincia de Villa Clara, Cuba"
18,20,"Freitas L, Sazima M (2006) POLLINATION BIOLOGY IN A TROPICAL HIGH-ALTITUDE GRASSLAND IN BRAZIL: INTERACTIONS AT THE COMMUNITY LEVEL Annals of the Missouri Botanical Garden, 93(3):465-516 (2006). https://doi-org.proxy.lib.umich.edu/10.3417/0026-6493(2007)93[465:PBIATH]2.0.CO;2",2006,syndrome+observation,open,1775,no,,sum of large and small bees given by table 4 excluding duplicate numbers (i.e. plant spp visited by both kinds),-22.963,-44.67,106,0.75,0.34,0.67,,,,,,0.45,0.23,,,,0.58,,0.31,,0.12,,,,,,,0.05,,,,,,,,,,Brazil,Serra da Bocaina 
19,21,"Genini, J., Guimarães Jr, P. R., Sazima, M., Sazima, I., & Morellato, L. P. C. (2021). Temporal organization among pollination systems in a tropical seasonal forest. The Science of Nature, 108(4), 34.",2021,syndrome+observation,closed,670,no,,"floral morphology, floral biology and visitation. no correspondence between plant sp and animal visitor sp; Table S1 for bee info (any small bee or medium to large bee included)",-22.8292,-47.1092,0.53,,0.49,0.1,,,,,,0.02,0.05,0.08,,,0.15,,,,0.01,,,0.22,,,0.03,0.04,,,,,,,,,,Brazil,
20,22,"Givnish, T. J., Kriebel, R., Zaborsky, J. G., Rose, J. P., Spalink, D., Waller, D. M., ... & Sytsma, K. J. (2020). Adaptive associations among life history, reproductive traits, environment, and origin in the Wisconsin angiosperm flora. American Journal of Botany, 107(12), 1677-1692.",2020,syndrome,NA,NA,NA,,cooridnates from state's centroid,43.7844,-88.7879,1547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.64,0.01,,,United States ,data for native flora
21,23,"Gomes, V. G. N., Sazima, M., Arruda, R., Fischer, E., & Araujo, A. C. (2022). Temporal Patterns of Pollination and Seed Dispersal in Capões of the Southern Pantanal. In Flora and Vegetation of the Pantanal Wetland (pp. 551-577). Cham: Springer International Publishing.",2022,syndrome,closed,350,no,14° to 22° S and 53° to 66° W,altitude from raster,-18,-59.5,284,0.47,,,,,,,,,0.03,,0.01,,0.06,,,,0.01,,,0.35,,,0.01,0.02,,,0.03,,,,,,,Brazil,"Pantanal, Brazil"
22,24,"Hernández, H. M., & Carreón-Abud, Y. (1987). Notas sobre la ecología reproductiva de árboles en un bosque mesófilo de montaña en Michoacán, México. Botanical Sciences, (47), 25-35.",1987,syndrome+observation,closed,2350,no,,,19.441601,-101.626594,13,0.23,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,Mexico,"sitio permanente de obser- vación ubicado a 7.8 km al sur de Pátzcuaro, Michoacán, el cual se encuentra enclavado en la Cordillera del Eje Neovolcánico a 2 350 msnm."
